Name,Lat,Lon,Cluster
GP_10494,31.25,82.0,5
GP_10495,31.25,82.25,5
GP_10496,31.25,82.5,5
GP_10497,31.25,82.75,5
GP_10498,31.25,83.0,5
GP_10499,31.25,83.25,5
GP_105,47.0,-121.5,10
GP_1050,54.0,102.0,2
GP_10500,31.25,83.5,5
GP_10501,31.25,83.75,5
GP_10502,31.25,84.0,5
GP_10503,31.25,84.25,5
GP_10504,31.25,84.5,5
GP_10505,31.25,84.75,5
GP_10506,31.25,85.0,5
GP_10507,31.25,85.5,5
GP_10508,31.25,86.0,5
GP_10509,31.25,86.25,5
GP_1051,53.5,102.5,2
GP_10510,31.25,86.5,5
GP_10511,31.25,87.0,5
GP_10512,31.25,87.25,5
GP_10513,31.25,87.5,5
GP_10514,31.25,87.75,5
GP_10515,31.25,88.0,5
GP_10516,31.25,88.25,5
GP_10517,31.25,88.5,5
GP_10518,31.25,88.75,5
GP_10519,31.25,89.0,5
GP_1052,54.0,103.0,2
GP_10520,31.25,89.25,5
GP_10521,31.25,89.5,5
GP_10522,31.25,89.75,7
GP_10523,31.25,90.0,5
GP_10524,31.25,90.25,7
GP_10525,31.25,90.5,7
GP_10526,31.25,90.75,7
GP_10527,31.25,91.0,7
GP_10528,31.25,91.75,7
GP_10529,31.25,92.0,7
GP_1053,53.25,103.75,2
GP_10530,31.25,92.25,7
GP_10531,31.25,92.5,7
GP_10532,31.25,92.75,7
GP_10533,31.25,93.0,7
GP_10534,31.25,93.25,7
GP_10535,31.25,93.5,7
GP_10536,31.25,93.75,7
GP_10537,31.25,94.0,7
GP_10538,31.25,94.25,7
GP_10539,31.25,94.5,7
GP_1054,53.0,105.5,2
GP_10540,31.25,94.75,7
GP_10541,31.25,95.0,7
GP_10542,31.25,95.25,7
GP_10543,31.25,95.5,7
GP_10544,31.25,95.75,7
GP_10545,31.25,96.0,7
GP_10546,31.25,96.25,7
GP_10547,31.25,96.5,7
GP_10548,31.25,96.75,7
GP_10549,31.25,97.0,7
GP_1055,53.5,109.0,2
GP_10550,31.25,97.25,7
GP_10551,31.25,97.5,7
GP_10552,31.25,97.75,7
GP_10553,31.25,98.25,7
GP_10554,31.25,98.5,7
GP_10555,31.25,98.75,7
GP_10556,31.25,99.0,7
GP_10557,31.25,99.25,7
GP_10558,31.25,99.5,7
GP_10559,31.25,99.75,7
GP_1056,53.5,109.75,2
GP_10560,31.25,100.0,7
GP_10561,31.25,100.25,7
GP_10562,31.25,100.5,7
GP_10563,31.25,100.75,7
GP_10564,31.25,101.0,7
GP_10565,31.25,101.25,7
GP_10566,31.25,101.5,7
GP_10567,31.25,101.75,7
GP_10568,31.25,102.0,7
GP_10569,31.25,102.25,7
GP_1057,53.25,112.75,2
GP_10570,31.25,102.5,7
GP_10571,31.25,102.75,7
GP_10572,31.25,103.0,7
GP_10573,31.25,103.25,7
